,segment,sentiment
1126,in some case funding constraint make -PRON- impossible to conduct the plan field demonstration and to provide follow up after train course,negative
1127,project document hardly ever present budget that be break down to the output or activity level,negative
1128,furthermore as more partnership be in demand within unep and the un but also with external partner project team have to devote additional time and energy to maintain those relationship,negative
1129,however despite many good intention present in the pow programme framework document and project document there be little evidence of effective formal collaboration between unep division relate to the ccsp,negative
1130,these project have not be design in a way that would promote collaboration at the national level,negative
1131,work with the un redd programme entail inescapable transaction cost such as the need to operate through three distinct budget line internal procedure and complex decision making,negative
1132,the overall administrative burden in particular the long lead time to get contract out be an area of concern,negative
1133,regional office make effort to follow up on the undaf preparation process but due to limited resource -PRON- can not participate in the undaf preparation of all the country pertain to the region and very often the unep programming cycle do not match with that of the undaf,negative
1134,most of the time indicator be define in the logical framework matrix include in the project document but quite often -PRON- be not smart2 and not monitor regularly in the course of project implementation,negative
1135,publicly available output assessment guideline etc can be find online but information on -PRON- utility and use be non existent,negative
1136,pims be still not consider a user friendly system with few incentive to use -PRON- for management decision making,negative
1137,gef fund project fare much well as gef rule regard reporting and evaluation have be much more strictly apply in unep,negative
1138,the causal chain may be tight and traceable but -PRON- may take several year before policy translate into actual investment in well technology which be when increase resilience or reduction in ghg emission relative to a baseline can be measure with some confidence and degree of accuracy,negative
1139,unep can only provide the good possible product and service target those to the most appropriate people in the most appropriate format,negative
1140,both pim and pprs however seem to have a have a strong positive reporting bias only achievement be report not failure,negative
1141,these step and the result understanding gain be not currently incorporate in project design and represent miss opportunity,negative
1142,overall the global economic and financial downturn have slow down investment decision of financial institution and government towards environmental objective,negative
1143,fluctuation in oil price affect competitiveness of renewable energy solution and diving carbon price have reduce the feasibility of cdm project,negative
1144,unep do not systematically build cost save measure into project design but change circumstance lead to resource constraint sometimes require project team to take cost save measure during implementation,negative
1145,one of the finding of the unep mts evaluation be that the current interpretation of matrix management in unep be not provide the clear line of authority and accountability for programme delivery that be need,negative
1146,though the process of develop the pow every two year and project approval through the project review committee prcs provide regular opportunity to bring together staff from different division there be no regular managerial or administrative tie between sub programme,negative
1147,the financial management system use by unep the un wide integrated management information system imis do not lend -PRON- to straightforward extraction and summarizing of financial information at the sub programme ea or pow output level,negative
1148,while there be multiple opportunity collaboration between the various component of the ccsp be limit so far,negative
1149,at the country level even though some effort be make at the beginning of a new engagement to map all related activity both national and international to examine possible synergy and risk of overlap overall unep support intervention be often fragmented,negative
1150,the establishment of relevant contractual agreement with project partner present constant challenge with regard to unep administrative process,negative
1151,additionally -PRON- be a real challenge to formulate result statement and indicator that would be acceptable for all party often end up in compromise,negative
1152,there be also a sequencing problem in the preparation of the pfs whereby project identification take place before the programme logic theory of change for the sub programme be develop,negative
1153,however because qas provide feedback on early draft of prodocs and clear prodocs before submission to prc there be a risk of bias stem from conflict role,negative
1154,within sub programme there be no prioritization of output or eas,negative
1155,unep intend to provide in the pf document,negative
1156,f document also mention the main target group of the sub programme but -PRON- role or how and why -PRON- would be affect by change promote by the sub programme be not explain,negative
1157,neither do -PRON- articulate sub programme wide role and responsibility of unep division branch and unit,negative
1158,however -PRON- do not propose a credible resource mobilization strategy for -PRON- sub programme,negative
1159,due to special attention by prc recent prodocs identify the regional and country dimension of the project well and provide a clear description of the expected role of regional office but still remain unclear on what and how resource will be channel to the regional office,negative
1160,many critical aspect of project design e.g. stakeholder and partnership analysis sustainability scale up and replication strategy safeguard etc will remain general description and lack accuracy if the location of the project be unknown,negative
1161,at time the gender goal proclaim sound rather unconvincing especially because gender relate activity be usually not to be find in the work plan or the detailed budget of the project,negative
1162,while effort to streamline unep template with donor template have be make -PRON- be not always clear to project developer on what be need for prc in the case of project that be be fund by entity that have -PRON- own template,negative
1163,the evaluation also find that prc comment be not always take on board and verification of the final prodoc at approval could be more rigorous,negative
1164,the final approve pf document have be abridge and be miss much of the content propose in the initial guideline prepare by qas,negative
1165,on the other hand financial sustainability of result which be closely link to up scaling be not explicitly address in pf document though some sub programme foresee specific project to develop financing mechanism which be expect to enhance the financial sustainability and up scaling of result achieve by other project in the sub programme,negative
1166,none of the pf document currently present a gender dimension to the sub programme,negative
1167,project concept in programme framework document often provide insufficient information to judge the strategic merit of the project in the broad strategic context of the sub programme,negative
1168,many project concept do not indicate the country in which the project will be implement,negative
1169,participate country be often unconfirmed and sometimes even unknown which add a considerable amount of uncertainty to the project,negative
1170,the report note however that sound chemical management throughout -PRON- lifecycle be essential to avoid significant risk to human health and environment as well as substantial cost to national economy,negative
1171,c&w indeed there be a perception that the awareness raise effort need to be strengthen to support resource mobilization effort for sub programme implementation,negative
1172,however the key output relate to the gpwm accomplish little,negative
1173,-PRON- be quite clear from interview with staff that considerable pre packaging of old activity to fit the expected accomplishment define in the mts occur,negative
1174,there be lack of effective coordination and collaboration within the branch and this be symptomatic of how -PRON- work generally within unep,negative
1175,for instance in the past eleven year there have be seven different head of the chemical branch with the current chemical branch director set to retire in the course of 2015,negative
1176,the sub- programme have consistently identify the availability of fund to be a constraint in carry out -PRON- capacity building activity,negative
1177,reporting especially at the expect accomplishment level be not base on milestone and do not reflect progress be make by the sub programme towards eas,negative
1178,since 2010 quarterly progress report on project in pim have also be undertake against project milestone,negative
1179,milestone in most of the project seem adequate for measure implementation progress,negative
1180,with little to no baseline information poorly formulate expect accomplishment indicator problem with attribution and the lack of budget for project monitoring the task of monitor accomplishment become a difficult one,negative
1181,even obligatory completion report of a reasonable quality have not be prepared for most complete project,negative
1182,as a result of the lack of fund to operate the information clearinghouse however alternative method be use to disseminate technical and scientific information relate to saicm implementation,negative
1183,lack of adequate resource for the provision of clearinghouse service as well as plan for regional meeting have be a challenge for saicm,negative
1184,as find in other sub programme evaluate in unep the process for recruit procure good and service and managing fund be quite bureaucratic and cumbersome and have cause delay in programme delivery,negative
1185,however about one fifth 19 of the staff be unhappy or very unhappy to come to work and highlight the following as pertinent issue the increase in and emphasis on organizational procedure that limit time to undertake technical work excessive workload and undertake multiple role mainly attribute to understaffing change in leadership and the result different management style over time impact on the sub programme and staff morale ineffective communication within the sub programme and involved unep branch and limited opportunity for promotion or lateral move of staff,negative
1186,the budget shortfall be more evident over the period of the 2010 13 mts with a 67 shortfall,negative
1187,independent evaluative evidence for the project in the c&w sub programme portfolio be very scarce,negative
1188,as highlight in the formative evaluation the expect accomplishment do not provide a fully coherent result framework for the sub programme,negative
1189,this logic run against a key observation well understand within delc and promote to external audience that chaotic proliferation of environmental agreement and institutional arrangement have create obstacle to implementation with among other issue multiple reporting require of country,negative
1190,the visibility of such corporate work both in term of report performance and as a clear locus for resource allocation be also affect,negative
1191,this further undermine result base design principle,negative
1192,for example within the hs hw sub- programme the support to draft an mea on mercury although not formally a part of the egsp be substantively support by -PRON-,negative
1193,as a result project alignment and overall cohesiveness of the egsp portfolio be lack and potential link between project and other sps often remain unexplored,negative
1194,this have be a systemic constraint that be not limit to the egsp,negative
1195,basic management practice such as periodic group meeting internal review work plan revision or forward planning exercise be generally lack at subprogramme level across the divisional divide,negative
1196,a difficulty that be subsequently also experience by the quality assurance section in organizational level monitoring process,negative
1197,assessment of cost- effectiveness at high programmatic level be severely constrain by this,negative
1198,the end result have be a supply side dynamic to budgeting that be largely ad hoc and dependent on the availability of fund for division implement project rather than foster of a share strategic vision well align with sp priority,negative
1199,the current monitoring system remain a self assessment,negative
1200,imdis and pprs be acknowledge to have particular limitation in the amount of information that can be capture in -PRON- which force staff to be selective in choose which activity to include when report,negative
1201,consequently unep staff in the division do not entirely perceive the utility of this reporting for decision making and -PRON- express frustration about the process,negative
1202,the central role of country be part of the unep vision yet -PRON- be not clearly outline and reflect in the unep subprogramme design and implementation arrangement,negative
1203,work that proceed outside the project modality have a number of negative consequence for the systematic tracking of progress reporting of result at project ea and sp level and evaluation of result,negative
1204,-PRON- be difficult to discern the effect if any the subprogramme modality have have on the performance of -PRON- constituent initiative,negative
1205,sub programme management i.e.management process that operate across the subprogramme have be rather disjoint and have struggle to meet the need of an inherently complex sp that have suffer from limited cohesiveness,negative
1206,the lead division sp coordinator and support staff have have limit influence over performance of the entire sub programme and accountability have be unclear,negative
1207,the absence of programme dynamic and unresolved tension with division manage function lower egsp momentum and the motivation of some participant who perceive the subprogramme as a burdensome overlay to core divisional responsibility,negative
1208,the integrated management information system imis do not allow break down of individual staff time among sps,negative
1209,the evaluation could not find any evidence of financial datum allocation and expenditure collect and track at sp or ea level,negative
1210,overall the current reporting system do not fully reflect the work for which unep be accountable and the level of achievement of result because of a number of inter relate factor,negative
1211,there be a need for well integration of environmental consideration in disaster risk reduction drr approach and vice versa and well preparedness for industrial accident,negative
1212,most attention be give to policy and planning skill while assessment management monitoring and enforcement skill have receive less attention,negative
1213,even though the d&c team have learn to a certain extent to cope with insecurity there be definitely a limit to where unep team and -PRON- local partner can continue operate on the ground without put person in danger,negative
1214,security risk often seriously hamper the movement and therefore the effectiveness of field staff,negative
1215,some significant result achieve as regard policy strategy planning and regulatory framework should also contribute to sustainability,negative
1216,-PRON- be hard to see an overall programme logic emerge from the project document except in very broad term,negative
1217,in some way however the problem relate to insufficient human resource be the consequence of a successfully grow programme partly due to the lack of dedicated unep core resource and to some extent relate to management system that be not well suited to become operational at the field level,negative
1218,the depth of partnership as well as distribution of role and responsibility however varie,negative
1219,progress report for individual project be scarce and when -PRON- exist of very variable quality,negative
1220,more junior well train technical staff tend to be more volatile in that -PRON- be often attract by well pay position with international organisation operate in the country,negative
1221,if one or more immediate outcome driver or assumption remain lack -PRON- constitute obstacle or bottleneck and the likelihood of achieve last change in term of environmental management and governance be reduce as be the likelihood of contribute to sustainable recovery of environmental benefit and livelihood,negative
1222,cumbersome administrative regulation and process have cause many delay in programme delivery which sometimes affect the credibility of unep in the eye of partner,negative
1223,there be overall little independent evaluative evidence for the project in the d&c portfolio,negative
1224,consequently there be a risk of overlap and duplication of effort with other organisation include other un agency,negative
1225,there be limited documentation on the selection of or choice between country or how other criterion be apply,negative
1226,rather than address a specific environmental challenge such as climate change harmful substance or disaster and conflict ecosystem management be a means to an end not an end in -PRON-,negative
1227,pprs rating on ea delivery over the mts 2010 2013 consistently indicate that the emsp have perform less well than the other subprogramme since 2010,negative
1228,rather the impression be of a mixed portfolio of initiative that lack overall coherence and integration that result from the continuation of work initiate in biennia prior to the 2010 2013 period,negative
1229,unfortunately this project suffer particular challenge especially lack of funding and although corporate level communication effort around emsp project be often strong overall communication of key emsp message and result have be poorly coordinate and not deliver effectively across the subprogramme and in general communication have be a weak area of subprogramme delivery,negative
1230,unfortunately the review could not be deliver in 2013 but -PRON- be complete in october 2014 and should help guide the communication of key concept and message for the new mts 2014 2017,negative
1231,this do not encourage and support dissemination replication or catalysis of emsp project result and present a poor impression of unep,negative
1232,opportunity for unep to add value have be lose where project effort at local level have not be explicitly link to strategic objective such as pilot or demonstrate tool and methodology to inform policy,negative
1233,however unep project team often make use of establish system effort and synergy such as reliance on well establish national or local partner for field activity,negative
1234,efficiency have be affect by significant delay to some emsp project for a variety of external and internal reason which have inevitably mean high staff and administrative cost,negative
1235,while some project have have specific strategy to disseminate technical output in other instance -PRON- be unclear who should promote these knowledge product,negative
1236,the lack of an overall emsp strategy to ensure a coherent approach to capacity development have reduce the likelihood of institutional sustainability,negative
1237,even in the country where unep have already provide intensive support awareness and capacity for ecosystem management remain fragile and may need far strengthen for a considerable time to come,negative
1238,also judge from the case study some emsp project do not implement the governance structure envisage in project document such as project steer committee which have sometimes jeopardise the prospect for sustainability particularly of local result although there be exception notably the teeb,negative
1239,also there be no overall replication strategy or approve communication plan for the subprogramme as a whole which could have be another source of add value at subprogramme level,negative
1240,replication often take place after a project have end so would need to be measure at the subprogramme level with resource establish to track this,negative
1241,however the link between the remain concept and implement project be not always clear,negative
1242,while these be not necessarily unique to the emsp -PRON- have affect delivery of the emsp,negative
1243,there have also be no funding for establish baseline against which subsequent progress and achievement could be measure,negative
1244,this shortfall in funding lead to a need to downscale project with activity reduce or cancel particularly in the case of demonstration project,negative
1245,project need to develop supplement at the start of a new biennium and to realign the project to new pow output,negative
1246,similarly whilst the work may be valuable and -PRON- may be relevant to the emsp accountability to the original expect result be sometimes lose,negative
1247,administrative regulation and procedure in unep be also not well adapt for field base operation and have lead to many delay and frustration which sometimes affect the credibility of unep in the eye of partner,negative
1248,the main purpose of the programmatic layer have be to align project within the portfolio which have be accomplish to a certain extent but be uneven with the result that some project have drift or be less relevant to the subprogramme,negative
1249,lesson learning be poor and inconsistent across the subprogramme with very little interaction and learning between the different project in the emsp and sharing expertise be weak to the point where some project be operate as silos reflect an organizational level problem,negative
1250,at the same time project implement in a particular country have sometimes be design as separate intervention with few if any linkage and there be little sense of a coherent portfolio of emsp project at country level,negative
1251,field activity and capacity building initiative be report to have be develop in a top down manner at headquarters level with insufficient consultation with ros and little interaction with country in establish priority design intervention and determine allocation of resource,negative
1252,the evaluation also find limited evidence of linkage between emsp project where the potential for strong linkage and synergy would seem to exist such as in the area of ecosystem service valuation and economics project,negative
1253,however motivation of staff deliver emsp project be undermine by the feeling of insufficient transparency in decision make in emsp programming and particularly over resource allocation,negative
1254,none of the case study project have develop clear resource mobilisation strategy and -PRON- adopt different approach to resource mobilisation,negative
1255,shortfall in resource mobilisation particularly affect the first biennium where many project begin without adequate funding and some with no funding at all,negative
1256,however the depth of partnership as well as distribution of role and responsibility vary,negative
1257,this have limit the ownership of project design although local partnership be usually develop at a later date once financing be secure,negative
1258,similarly -PRON- be difficult to specify policy outcome in a result base framework,negative
1259,consequently engagement with the private sector by the emsp have not be as extensive as be hope,negative
1260,however there be a number of issue with the formulation and use of milestone that call -PRON- suitability into question,negative
1261,in general the role and responsibility of report focal point in relation to the role and responsibility of project manager and the spc in the emsp reporting cycle be not clear,negative
1262,other type of under report include policy outcome catalyse by project but which be deliver after closure of the project and project extend into a new pow biennium or mts period whose report result at project level may contribute to early output or eas,negative
1263,the emsp result framework do not provide an adequate basis for focusse the work deliver under the emsp or for result base management rbm,negative
1264,an underlie difficulty in frame the emsp be that -PRON- be build around a set of approach group together under the broad concept of ecosystem management,negative
1265,however the subprogramme have lack a coherent capacity need analysis that set out what and where specific tool and methodology be require,negative
1266,however the protocol be still not in force by the end of 2013 so there have be limit opportunity to deliver plan emsp activity in the 2010 2013 period,negative
1267,there be a number of factor that have contribute positively or negatively to the delivery and performance of the emsp during the 2010 2013 period or which have put the future sustainability of achievement at risk,negative
1268,the quality of project proposal review for the evaluation case study be variable,negative
1269,there have be limit investment in project planning and development with resource sometimes draw from ongoing project,negative
1270,the current evaluation confirm that these factor affect emsp delivery during the 2010 2013 period,negative
1271,there have also be no real sense of a team effort across the emsp and cohesion and team work within the subprogramme could be improve,negative
1272,the emsp have natural affinity with the ccsp and dcsp but synergy tend to happen base on personal contact and on a case by case basis rather than through joint programming,negative
1273,this weak internal collaboration and exchange have be exacerbate by several factor such as the difficulty of pool resource across division weak incentive to promote in house collaboration and a lack of dedicated staff time for knowledge exchange and mutual support,negative
1274,the ceap model -PRON- entail high transaction cost and intensive capacity building at the service actor ngo or government partner and community level which may be well undertake by agency other than unep,negative
1275,the quadrangular jurisdiction between unep hq in nairobi depi pcdmb in geneva undp khartoum and the country office be at good inefficient and in some case directly obstructive to the programme,negative
1276,the constraint to success be primarily related to staffing and resource and the fact that expectation have be raise which can not be satisfied in the current aid climate,negative
1277,the dysfunctional management arrangement currently in place between nairobi geneva and khartoum need to be revise to take into account the requirement of work flexibly and with a degree of decentralized authority commensurate with good practice in such situation,negative
1278,overall moderately unlikely mu,negative
1279,however biosafety system be not yet operational in many country and have to be prove in more challenging situation concrete opportunity to test collegiality and decision making in presence of gmos application,negative
1280,some of -PRON- be due to the fact that all the strategy that be mea related be mainly shape by the convention process to which the un contribute,negative
1281,sustainability in this context be dynamic and in this context the evaluation deem that sustainability of gef unep biosafety strategy be currently still less than suitable hence rate moderately unlikely mu,negative
1282,the use of financial and time resource have not be optimal despite the huge effort make by the management team in ensure monitoring transparency and accountability through an innovative information system anubis,negative
1283,the overall capacity of unep to respond to project implementation and management challenge have to be rate moderately unsatisfactory mu,negative
1284,-PRON- be rate moderately unsatisfactory see 4.7,negative
1285,however efficiency have be strongly challenge by high management cost and an excessively protract timeframe,negative
1286,the progress towards impact have be uneven along the 123 country and external factor be challenge socio political and financial sustainability,negative
1287,the unep biosafety strategy be not clearly define and there be concern regard -PRON- sustainability,negative
1288,highly variable between three main group of country see 4.3.3 section d,negative
1289,at the current stage socio political sustainability be rate moderately unlikely mu,negative
1290,in retrospect unep have not show a clear biosafety management strategy which be lead to a rather unsustainable management situation as far as biosafety be concerned see 4.4.5,negative
1291,despite some inconsistency in the log frame the mt have be able to implement an information system anubis and other monitoring tool,negative
1292,overall project design have major challenge relate to definition of outcome and the use of pow output as subproject outcome,negative
1293,the monitoring that be do for sub project be often informal or not record and not available in one full and comprehensive monitoring plan serve the purpose of track progress and clear attribution for the entire umbrella,negative
1294,this be cause by change in government and overly optimistic assessment of the length of consultation and validation process as well as administrative and operative challenge,negative
1295,the lack of country presence imply that un environment staff be not directly involve in national policy process and -PRON- need collaboration with other agency to stimulate change,negative
1296,this affect reporting monitoring and attribution,negative
1297,however the umbrella project structure do form challenge for attribution planning and monitoring,negative
1298,the implementation of regulation incentive and measure be still incipient and scatter and can only be consider early example of ge application in practice,negative
1299,inclusion of awareness raising and communication activity into the plan project activity could have possibly far strengthen the impact of these effort,negative
1300,communication and awareness raise with the public at large be not clearly plan in the original project design and could have strengthen the project possible impact,negative
1301,on monitor and report the evaluation have find that initially the project do not fully comply with the timeline monitoring and reporting obligation as describe in the sign pca due to start up difficulty and a lack of guidance from un environment due to personnel change,negative
1302,however the contribution of the research committee to and -PRON- influence on knowledge generation be find to be uneven due to a range of factor include limited financial capacity available to support -PRON- functioning,negative
1303,online exchange and knowledge networking have not be priority area of work and therefore moderate achievement be find on build and facilitate a dynamic green growth community of practice,negative
1304,salient factor limit uptake of the knowledge provide by the ggkp be lack of financial resource and lack of partnership,negative
1305,however the draft have never be formally endorse at a superior level the epa policy council see chapter 5.4.1,negative
1306,mitigate those risk have prove to be virtually unsurmountable for the project team that have to give up on attain some relevant expect output like the endorsement of the biosafety policy the approval of the draft biosafety law and of subsequent regulation,negative
1307,these achievement however do not receive adequate institutional and socio political support,negative
1308,project design quality be assess in inception report and find weak in intend result and causality logical framework and monitoring governance and supervision arrangement,negative
1309,implement few year after a devastating and long- last civil war,negative
1310,to a limited extent measure design to move towards intermediate state have start but do not produce yet tangible result,negative
1311,weak institutional and technical framework so far,negative
1312,-PRON- be not obvious that these resource will be available in the short term to fully use the capacity build by the project although many international actor be work to design facilitate policy and instrument,negative
1313,international resource panel be implement an approach to generate policy relevant knowledge that be not base on a contemporary critical knowledge of how science actually reach and influence policy,negative
1314,there be assumption make about the ability and willingness of government and other partner to assume responsibility and take over from unhcr as well as about the transfer of residual responsibility to the regional office in pretoria in the context of the regionalization policy,negative
1315,the decision do not include a transparent analysis of underlie assumption and precondition that could have guide field office as a result appropriate strategy with clear indicator operational milestone and roadmap be not develop base on such analysis and could not be use to support the review of progress in subsequent year,negative
1316,the extent to which reduction in overall expenditure be attributable to the 2013 decision can not be calculate due to limited tracking of resource that go toward the phase down process and of the unintended additional cost and liability -PRON- generate,negative
1317,nevertheless when the 2013 decision be make the intend outcome be formulate only in term of office structure and presence,negative
1318,the available organizational planning guidance do not provide sufficient support to the office on this issue include on what standard for protection and assistance could be agree with government,negative
1319,by 2016 unhcr be less able to carry out protection and solution activity for person of concern directly and through partner,negative
1320,recipient of unhcr cash be less likely to earn income in the formal sector with access to work as a precursor to be less likely to earn income in the formal job market,negative
1321,the unhcr refugee -PRON- d card be not always accept by school for enrolment and few refugee youth if any have attend the secondary and senior secondary national open school a distance learn format high school,negative
1322,access service and justice be also a challenge,negative
1323,the mission find that one of the main challenge face by unhcr in -PRON- response to the emerge crisis be the timely dispatch of sufficient number of qualified and experienced technical staff,negative
1324,moreover a number of institutional bureaucratic and operational impediment further reduce the pace at which unhcr be able to respond to the unfold crisis result in an initially insufficient scale up to respond to the emergency,negative
1325,however a concern raise by a large majority of ho respondent as well as unhcr uk respondent be the need for more consistent ongoing communication particularly with the high level policy and decision maker in the ho,negative
1326,when the new urban refugee policy be introduce in 2009 the office charge with -PRON- implementation do not receive dedicated resource for that purpose nor be -PRON- provide with additional staff,negative
1327,in malaysia such advocacy effort have not yet succeed in persuade the authority to assume a more substantial role in relation to refugee issue and unhcr have consequently be oblige to assume responsibility for a wide variety of function include registration status determination documentation and detention monitoring good interest determination for child as well as assistance in the area of health education livelihood and the search for solution,negative
1328,in malaysia however there be no solution in sight for the majority of refugee even in the medium or long term,negative
1329,at a provincial level there be a lack of practical guidance for targeted support to person with specific need,negative
1330,this underestimate coverage since information management and reporting system do not consider protection mainstreaming activity in other cluster and monitoring and evaluation m&e system do not track how protection monitoring datum be use,negative
1331,most non food item nfi procure for l3 operations in kasai be distribute 5- 6 month after need assessment have be conduct reduce -PRON- effectiveness,negative
1332,a key challenge for unhcr lead coordination system be not only to avoid duplication but mainly to optimise value add of the limited resource available,negative
1333,key gap during the l3 response include the lack of protocol to address protection need lack of coherence between different protection work group difficulty in agree on harmonise standard data management and turnover of cluster coordinator,negative
1334,due to a combination of internal and external factor notably critical gap in funding and staffing protection monitoring do not influence delivery of service and assistance as plan,negative
1335,the interagency protection strategy of the humanitarian coordination team hct in drc be approve in april 2018 follow a prolonged process which mean there be no agree protection strategy to guide the overall l3 response,negative
1336,unhcr in drc do not wait for the declaration of the system wide l3 emergency to start provide assistance but -PRON- do so with limited resource in a context where the government do not authorise an initial assessment by the protection cluster,negative
1337,the protection cluster report achieve only 8 coverage of need for the overall response,negative
1338,there be a lack of systematic reporting of outcome by unhcr and most of -PRON- implement partner during the period cover by the l3 declaration even though protection monitoring could have potentially provide outcome datum for both advocacy initiative and intervention at a community level,negative
1339,significant delay in scale up and gap in system and capacity compromise the effectiveness of the response,negative
1340,current ocha lead system for data management and multi sectoral reporting do not accurately reflect or provide an incentive for mainstreaming protection,negative
1341,the relatively high cost of establish and staff unhcr office along with the lack of effective remote management and monitoring system undermine coverage and cost effectiveness,negative
1342,although the risk of further displacement within drc remain high unhcr preparedness remain limited,negative
1343,unhcr lack policy approach and tool that be specifically adapt for idps include l3 protocols,negative
1344,unhcr lack clear line of accountability for decision making during this l3 corporate response,negative
1345,-PRON- advantage and disadvantage have as far as know never be fully assess by unhcr,negative
1346,mandate rsd be still carry out in a considerable number of country where a national procedure exist mostly as an exceptional response to serious protection risk,negative
1347,decision make through or by collective inter ministerial eligibility body service by technical secretariat be a model that have be replicate in many country with little apparent regard to local condition,negative
1348,new rsd authority appear to face challenge in two main area the expedient function of procedure include the capacity to respond to increase number and the correct application of the refugee definition,negative
1349,in conclusion look at state and unhcr practice transition rarely follow a linear and quick pattern of fully effective responsibility and quality rsd,negative
1350,from an efficiency perspective despite the need for an offline system to manage cerf funding which be also the case for other earmarked contribution there be an acknowledgement of the comparatively light application and reporting process,negative
1351,the challenge around recruit and retain staff which be due largely to limited security of tenure career prospect and condition for contract staff be great and overcome -PRON- will be crucial for the success of the transition to national rsd in the long term,negative
1352,at present dra and unhcr register asylum seeker in parallel lead to inefficiency and the risk of discrepancy and error in record datum,negative
1353,registration of asylum seeker in nairobi have be suspend by the government at various time since end of 2012 hinder access to the procedure for many people potentially in need of protection,negative
1354,some of those interview express a strong desire for a clear and timely outcome from the rsd process,negative
1355,although the work plan have provide a comprehensive set of step which should once complete provide for a timely conclusion of the transition process -PRON- have not be possible to adhere to the foreseen timeframe,negative
1356,registration and data sharing be also crucial issue on which progress have be delay,negative
1357,response seem to identify a lack of effective communication between unhcr and -PRON- population of concern with regard to the progress of -PRON- claim,negative
1358,in 2014 2015 unhcr be more effective at coordinate with un partner than with government or ngo partner,negative
1359,turkey be a difficult programming environment in part because of the lack of datum the very large and scattered character of the refugee population and the limited room for manoeuvre in a situation where the government be in control but -PRON- undergo rapid institutional change,negative
1360,government welfare system,negative
1361,however both coordinating mechanism have deficiency,negative
1362,effort to coordinate and plan an effective programme have be hamper by the policy of the government not to gather or share key demographic datum although some vulnerability profiling be achieve in the 2014 2015 period while identify beneficiary for out of camp distribution of cash and core relief item,negative
1363,durable solution be a long way away for syrians in turkey,negative
1364,however there be one major gap in the entire protection response of the un not just unhcr stem in part from reticence to address cultural and traditional factor and that be insufficient attention to the large and grow risk of sgbv and child exploitation most often typify by early marriage and child labour,negative
1365,the effectiveness of programme for refugee and asylum seeker be limit by a general hardening of attitude towards refugee the unsettled leadership of unhcr in 2015 and the reallocation of limited staff and policy resource towards idps,negative
1366,unhcr and -PRON- partner have not succeed in resolve some political obstacle such as humanitarian access and policy advocacy in ngcas be almost impossible,negative
1367,"those reside in the makeshift site be live in emergency like condition while unhcr have not be able to develop an effective advocacy strategy for the 200,000 unregistere rohingya beyond acknowledge -PRON- as person of concern in 2010",negative
1368,unhcr should have devote some resource however on spontaneously resettle refugee in koinadugu and in urban freetown,negative
1369,the large number of ngo organization begin leave around 1994 and unhcr downsize after -PRON- departure,negative
1370,the repatriate community have not prosper,negative
1371,yet i have see few donor strategy that have adequately account for the need of people who have be uproot by conflict to continue uproot -PRON- in order to survive,negative
1372,unless and until these regulation be modify unhcr will find -PRON- extremely difficult to implement the other aspect of -PRON- policy,negative
1373,as a result a large proportion of the people recognize as refugee in bulgaria be unable to integrate there and consequently engage in irregular movement to other part of europe,negative
1374,more generally the refugee issue be overshadow by the other socio economic challenge confront the country,negative
1375,manage these coordination challenge draw key resource away from the field level response at a critical moment in the crisis,negative
1376,gap observe in security management hardware and protocol be indicative of the difficulty many unhcr operation face in manage the transition from a relatively stable situation to one characterise by risk and uncertainty,negative
1377,consider that uganda be also face a refugee influx from the d.r of congo the capacity of the ugandan government unhcr and partner be therefore stretch,negative
1378,while protection need and risk be assess as part of multi sectoral assessment early on in the response no protection specific assessment inform the response priority,negative
1379,accountability to affected population a central element for protection outcome be partially achieve through participatory assessment and other mechanism that provide some opportunity for participation and sharing of information,negative
