,segment,sentiment,isSentence
2231,"The use of annual progress and final reports to the donors and Programme Implementation Reports do not allow for critical and comprehensive analysis of results achieved, nor the identification of opportunities, and challenges.",negative,True
2242,"Bidding regulations in the EU does not encourage hiring extra ILO project staff in country offices, nor does it allow for flexibility during implementation.",negative,True
2243,"Many of the challenges related to a lack of dedicated staff to this project, coordinating across units at headquarters, as well as budgets and co-financing requirements.",negative,True
2249,"The GAP-MDW project did not have an objective to focus adequately on MDWs themselves, although it strove to reach MDWs through partners, encouraging trade unions to represent this category of worker with IDWF reaching out through their electronic platform.",negative,True
2250,"Project management challenges related the complexity of commissioning multi-country studies, handling 5 migration corridors with multiple sites and organizations that were intended to generate information towards concrete legislative change in each corridor as well as for global action and advocacy to protect MDWs.",negative,True
2251,This was lacking in the GAP MDW project.,negative,True
2252,"However, ensuring that W4Y was relevant as a discernible input into policy, programme or dialogue proved to be very challenging.",negative,True
2255,"However, this is not the case for all the search results and use of the underlying data generated by the project could increase with more investment in dissemination and communication.",negative,True
2257,"While ILO and MCF have utilized and disseminated SWTS information there has to date been limited use of the SWTS microdata, SWTS reports and the YouthPOL database among global stakeholders.",negative,True
2258,"This was specifically mentioned in Togo and Malawi, but the concern about the country report relevance and process for promoting buy-in at the country level was identified in the Mid- Term evaluation.",negative,True
2259,It is at the country level that the ambiguity in defining the project objective makes assessing effectiveness more difficult.,negative,True
2260,"From a value for money perspective, only a portion of the potential value of the project has been realized as of yet.",negative,True
2261,"Without the additional investment to support the kinds of actions described above, project impact at the global level will diminish as the information becomes less timely and further development and dissemination of the methodology ends.",negative,True
2263,"Despite significant investment in face to face engagement in building initial support for the SWTS survey in many of the countries, a limiting factor in country-level impact was the lack of involvement of country partners in the analysis.",negative,True
2265,"Aside from research, good practices, lessons learned and tools still need to be exchanged at a much higher rate to inform HIV in the world of work in different countries and settings.",negative,True
2266,"Although gender issues have been identified in the Code of Practice, Recommendation 200 and other ILO documents, the ILO strategy on gender and HIV in the world of work is still not very strong.",negative,True
2268,"National strategies to address HIV and AIDS in many case countries remain concentrated on health sector, with prevention and the wider social protection systems receiving less attention.",negative,True
2271,"Despite the fact that the ILO has developed very interesting good practices on HIV in the context of the informal economy worker, a great deal more effort is needed to reach the very large number of informal economy workers, job seekers and others among poor and vulnerable workers.",negative,True
2273,"At country level, development partners working on HIV often are not very familiar with the ILO‘s tripartite process and its work with Ministries of Labour although there is an increasing recognition of the need to integrate and associate multiple partners.",negative,True
2276,"However, some ILO program managers involved in implementation thought the global level intervention strategy would have been more effective if it were more focused, with fewer strategic outputs.",negative,True
2281,"However, several research products and training tools were not yet finalized or diffused by the end of the project implementation period.",negative,True
2289,The capacity of the FUNDAMENTALs branch to follow-up and complete these deliverables is challenged by staff reductions and strategic reorientations and threatens their sustainability.,negative,True
2291,In some cases the project design envisaged needs assessments and gap analysis that were not finally developed.,negative,True
2292,"This has problematized project tracking from headquarters, the eventual communication of information between the offices and countries that form part of the project and the availability of data that is disaggregated by gender.",negative,True
2293,The fact that the countries covered by the project are from many different regions has made it difficult to encourage South-South cooperative activities.,negative,True
2294,The project has not had a monitoring system.,negative,True
2305,"A knowledge transfer strategy should also be systematized, formalized and monitored by the project.",negative,True
2307,"At ILO Headquarters (HQ) and in the three countries visited, interests to reinforce intra-, interagency and interinstitutional cooperation as well as coordination have been expressed.",negative,True
2308,"Despite the dedication of ILO HQ and country project teams to keep up with tight deadlines, the project has faced strong delays and requires continuous, strong and proactive dedication of all administrative support staff to reach expected results.",negative,True
2310,No knowledge transfer strategy has yet been defined by the project.,negative,True
2311,Assessing the likelihood of sustainability of results at the country level is tricky at this stage.,negative,True
2313,Monitoring tools and processes have not been sufficiently tailored to the needs of project implementers.,negative,True
2317,"In other countries, work on forced labour needs more follow-up with the national governments to have significant impact on policy or implementing mechanisms.",negative,True
2320,"However the less detailed reporting requirements by the donor associated with Outcome-Based Funding did also mean that reporting against the log frame indicators has not been systematically compiled at the country level, which could present problem for institutional memory.",negative,True
2325,These factors affected action and decision making and directed efforts away from a more operational and strategic implementation.,negative,True
2329,"The division of duties in project management between CEPOL and YEP resulted in diluted and unclear management, coordination and reporting responsibilities.",negative,True
2333,The organizational and system levels of capacity development received less attention.,negative,True
2343,The ratings in the assessment below reflect identified performance level with the caveat that lack of consistent data lowered ratings for certain criterion.,negative,True
2353,"There is no assigned custodian in the ILO to coordinate capacity development for government agencies in terms of policy development, knowledge management, implementation support, guidance, and supervision.",negative,True
2356,"However, reporting on ag- gregated results masks a wide range of activities for different purposes, and conveys little concerning the relevance, realism, and the quality and performance of capacity development in a country context (system level).",negative,True
2360,"There is limited monitoring and evalua- tion of the outcomes and impacts associated with capacity development, so it is not always easy to see if personal development has contributed to organizational development, or if the newly acquired skills and knowledge will be sustained once the individuals have left.",negative,True
2363,"While there is greater recognition of the role of DW in poverty reduction, better elaboration of the link between the two is needed.",negative,True
2364,"The ILO has undertaken initiatives in line with the need to develop measurement indicators for DW, although a better assessment of the existing statistical capacities of each of the countries would have been useful.",negative,True
2365,"While there are positive examples (ILO-IMF cooperation), better coherence is needed in the measurement of DW.",negative,True
2366,"However, to some extent, the lack of internal coherence within the ILO poses a risk to the effectiveness of this initiative, especially because of the multiple assessments3 in place concurrently.",negative,True
2369,Capacity building was found to be less effective if the enabling environment is lacking.,negative,True
2370,"However, the effectiveness of its application has remained low.",negative,True
2371,"So far, systems for learning across organizations do not sufficiently support the sharing of knowledge and experience on the mainstreaming of DW.",negative,True
2373,Vertical coherence between activities at HQ and at RO and CO levels has been mixed.,negative,True
2374,Horizontal coherence between the components of the outcome Strategy in a given country also could be improved through the DWCPs.,negative,True
2375,"At the national level, the unjustifiably short duration of the projects (in relation to the defined outcomes), coupled with delays in approval, launch and transactions is reducing the efficient use of the time available.",negative,True
2376,"ILO visibility is rather low in some countries, ultimately hindering the mainstreaming of DW, which is largely due to the lack of a wider communications strategy.",negative,True
2377,"Low national ownership and funding (in some countries), lack of the necessary expertise, lack of clarity related to ILO commitment to continued support, and inadequate horizontal coherence within the ILO were found to be key limitations to sustainability.",negative,True
2378,It also does not provide guidance on promoting cross-fertilization and collaboration with other outcomes.,negative,True
2379,"This can hamper the potential of the Outcome- based Work planning (OBW) approach towards more coherent programme planning, implementation and reporting.",negative,True
2380,"Regarding the relevance of the ILO strategy, the team found that, while the strategy under Outcome 17 provides a global sense of direction for the implementation of non-discrimination work, it is not explicitly linked to the high-level strategic guidance laid out in the GRs, APs, and the GJP.",negative,True
2382,"The employment-intensive construction methods are disadvantaged by long-held national and international concerns about the management intensity for government institutions and their contractors, and perceived risks linked to the relatively slow disbursement of funds.",negative,True
2385,"The ILO has the mandate and expertise to carry out the objectives of the programme but lacks the full leverage to bring about the policy, institutional and philosophical change needed without more support from key influential institutions at global, regional and national levels.",negative,True
2390,"There are wide disparities in the number of countries covered by each regional office (RO), Decent Work Technical Support Team (DWT) and by each country office (CO), as well as in the office architecture.",negative,True
2391,The inequities were greatest for Africa and the Arab States.,negative,True
2393,"More generally, issues emanating from resource constraints have slowed the pace of reform.",negative,True
2394,The extent to which programme and budget proposals are based on an assessment of needs is not clear as budgets only marginally change from one biennium to the next.,negative,True
2399,More flexibility in financial and human resource management is needed for decentralization efforts to lead to decisions at the field level.,negative,True
2400,There does not appear to be a systematic process for determining demand at country or regional levels although the process of developing DWCPs partly serves this purpose.,negative,True
2402,This is a major factor in determining whether or not the ILO is an effective partner in all UNCTs.,negative,True
2403,Knowledge management and commu- nication systems need to be improved in the context of a culture of sharing to make the work of the FOS more effective.,negative,True
2405,Such moves have not always been sufficiently gender-responsive in addressing the gender gaps at various levels.,negative,True
2412,Programme support income (PSI) funding to support the FOS and as an incentive for resource mobilization remains centra- lized in allocation.,negative,True
2414,"Although a staff mobility procedure is in place, there is minimal evidence of staff movement in practice, although some differences and variations between regions and departments were observed.",negative,True
2420,"Provision of technical support appears to be driven more by supply than demand, including where donor resources are available.",negative,True
2421,"In the field, there is low awareness of the reform efforts despite high interest, with the pace of reform generally perceived to be slow.",negative,True
2423,Evidence suggests that the ILO is less effective in countries lacking a resident designated ILO official.,negative,True
2424,It is still mostly a one-way connection between HQ and the field.,negative,True
2427,This is in part explained by the fact that the implementation of the MCOF at these levels does not always imply additional allocation of resources.,negative,True
2431,The exclusion of some projects in post-crisis situations which focus on technical assistance for migration management was problematic as this is contrary to the spirit of the Facility.,negative,True
2433,"The report notes, however, that, with the expansion of the Facility, the number of projects to review, comment on and submit to the IOM Director General for approval has been increasing.",negative,True
2435,One Member State also proposed that the criteria and guidelines be reviewed in the light of the outcome of the current IOM budget reform process.,negative,True
2436,"The concrete benefits of using a ToT as a means of expanding role out, to ensure the replication and monitoring are recognised, in particular in the Philippines, and would require further efforts in Indonesia.",negative,True
2437,Further funding for coordination and priority setting in the destination countries of Italy and the Netherlands could have been beneficial.,negative,True
2438,"Further inclusion of other project stakeholders such as formal partners or associates could also have increased the capacity development in the medium term of government, civil society, diaspora groups and other main actors.",negative,True
2439,"Such outreach could have ensured more systematic access to existing materials, and expert input.",negative,True
2449,"The benefits to the direct beneficiaries, i.e. migrants would have had the most relevance to objective 4 – Improve remittance transfer services, and provide remittance transfers through formal financial institutions.",negative,True
2450,The Government counterparts as well as key IOM implementing missions have been absent from the Steering Committee meetings.,negative,True
2454,"Network and dialoguing has mainly limited to protect partners, and could have benefited from a more systematic external communications strategy.",negative,True
2455,"Bilateral dialogue mechanisms between S. E Asia and the EU are likely to be sustained over the longer term, but are likely to require further resources and prioritization",negative,True
2458,"However, as the MCOF is a tool for fostering improved internal coordination and programmatic coherence at all levels, a strengthening of the internal coordination mechanisms and the allocation of resources on a consistent and ongoing basis are required for undertaking comprehensive assessments and developing response strategies at different stages of a crisis with mobility dimensions, including in anticipation of or in the wake of a crisis situation.",negative,True
2461,"Externally, one of the barriers to using the MCOF is the existence of other strategies and systems such as the Humanitarian Country Team (HCT) coordination system and the cluster approach.",negative,True
2464,"An identified weakness was the imbalance between promotional activities in Italy and in the selected countries of origin, which did not aid promotion of the MIDA concept in those countries, already affected by low institutional commitment.",negative,True
2467,"The project document and implementation however entirely lacked gender focus, which should be rectified in the extension phase under discussion and other future MIDA projects.",negative,True
2468,"The project was not effective in transferring skills and capacity building activities, as no transfer took place, contrary to initial plans.",negative,True
2470,No investment projects were implemented.,negative,True
2471,"However, the results in terms of contribution to development are weak and the overall approach requires further analysis.",negative,True
2473,"The report notes that measuring some of those impacts are not cost-effective, requiring time and high investments, and that working on the effectiveness with verified hypotheses, such as that brain drain affects development, can be as informative and relevant.",negative,True
2474,"However, its sustainability prospects remain entirely donor driven.",negative,True
2475,"The project came to the end of its cycle, and in case the time extension is not granted, the project results will not be fully reached as the capacity building and technical expertise essential for the running of the Centre will not be available any longer.",negative,True
2476,"Apart from neighbourhood opposition, the municipal and national elections and the referendum, a difficult economic situation in the country additionally prolonged the efficient Open Centre set up.",negative,True
2479,"At Headquarter level, the private sector liaison team in the Donor Relations Department (DRD) remains small with the Head also having other donor liaison functions.",negative,True
2480,"There are nonetheless key factors that need to be addressed to achieve the Strategy, such as increasing human resources, finetuning institutional processes or improving the understanding of how to engage with private sector.",negative,True
2481,There are no mechanisms to raise funding regularly through existing private sector contributors (such as using a percentage of the private sector funding to reinvest into implementing the Strategy).,negative,True
2482,"There are however other efforts such as knowledge management, which were not implemented (due mostly to lack of human and financial resources), putting sustainability efforts at risk.",negative,True
2483,"At the regional level, private sector engagement varied according to opportunity, the capacity and resources to implement it and actively seek partnerships.",negative,True
2486,"The reasons given for a negative rating were mainly the limited funds and therefore action, absence of government response and interest and regional dispersal affecting implementation.",negative,True
2487,"Other IOM offices considered that 15 per cent of the projects surveyed did not achieve the expected outcome or impact, the main reasons being disagreements among benefiting governments on project implementation or follow-up action and poor project design.",negative,True
2490,"As highlighted in the survey conducted, some IOM offices assign the duties over child-oriented protection and assistance to IOM Project Managers (PMs) and in certain cases, the child protection issues are handled by staff who do not possess the relevant expertise on the topic.",negative,True
2491,"Survey results also showed that regular training of staff involved in child protection along with the mapping of child-oriented projects to capture relevant information, best practices and lessons learned, are missing.",negative,True
2493,"DMM and DOE managers note however that responsibilities over the management of migrant children assistance are not always clearly drawn between the departments, sharing of information can be improved and the challenges in programme implementation are increased with the lack of a comprehensive institutional policy.",negative,True
2496,"Continuous gender mainstreaming training and building of capacities are needed on how to effectively assist specific gender groups, along with the exchange of best practices in the frame of gender sensitive projects development and implementation and gender-responsive budgeting and reporting.",negative,True
2497,"However, financial constraints limit such a close monitoring of victims, which ranges from none at the end of the project to a period of six to nine months.",negative,True
2502,Monitoring challenges remain in cases of the assistance provided to children victims of trafficking.,negative,True
2504,"IOM faced challenges in implementing the employment component either due to structural constraints such as the registration process for accessing social assistance schemes after termination of employment, or ensuring that the workers from the Municipal Employment Centre (MEC) were being effectively employed during the infrastructure project.",negative,True
2508,"This disjointedness has increased the risk of duplication, which needs to be addressed moving forward, as this results in a waste of money, time and human resources, and can create confusion when it comes to storing, sharing and managing knowledge in the Organization.",negative,True
2510,Survey respondents and interviewees were also split on the issue of the extent that existing IOM policies and strategies facilitate knowledge management and its institutionalization in the Organization.,negative,True
2511,"As most knowledge management efforts that have been implemented thus far in IOM have not been funded through any specific funds allocated to knowledge management, very few respondents were able to discuss their cost-effectiveness and sustainability.",negative,True
2512,"No. 12 was also awaited since November 2017 due to the donor considering new funding and an extension until the end of 2018, allowing the implementation of additional activities.",negative,True
2517,One finding was that the indicators of the project were different from those in the CCCM strategy and they could have been better streamlined.,negative,True
2518,"Some aspects of coordination, such as sharing more information on each of the components, could have been improved in order to streamline the activities and identify lessons learnt that could be relevant for the Cluster as a whole.",negative,True
2519,"Based on the input from Global Team members, the evaluation recommends to better define selection criteria to maximize the benefits and prioritize deployments.",negative,True
2521,"CCCM should capitalize on its current efforts with CP partners to ensure that, during evacuations, displacement is well managed.",negative,True
2522,"Whilst matching civil protection with CCCM expertise has proven challenging at times, civil protection has been identified as integral to humanitarian assistance.",negative,True
2523,"However, as DTM activities continue to expand, it is important that appropriate human resources are in place to match the expansion of activities.",negative,True
2525,"However, existing DTM M&E mechanisms require important attention to effectively report on the DTM activities, including recommendations for future strategic moves such as the development and coordination of DTM activities in the field and securing donor funding.",negative,True
2528,"Externally, the promotion and advertisement of the DTM among partners, governments, donors, and other key stakeholders is done on an ad-hoc basis, which could be strengthened through the clarification of the DTM objectives and the development of a strategy for DTM.",negative,True
2529,"Yet, more efforts are required to ensure DTM activities are implemented in a timely manner.",negative,True
2531,"The challenge now is to maintain this momentum, along with the growing interest in the DTM.",negative,True
2534,"Some Member States suggested that more information could be included in the Annual Report on the different crises for which MEFM was activated, and on the status of reimbursements.",negative,True
2535,"The Mechanism benefited from contributions from 12 Member States which totalled USD 11.2 million, representing only 38 per cent of the target",negative,True
2536,"Nonetheless, the remaining balance as at 31 December 2015 is low due to the difficulty in obtaining reimbursements.",negative,True
2537,"Moreover, if this aspect of the Mechanism does not function more effectively, the operational balance will soon be rendered ineffective.",negative,True
2538,"One of the main reasons for the difficulty in obtaining reimbursements is the lack of interest of IOM donors in reimbursing amounts used for evacuations, which represented 71 per cent of the funds to be repaid as at 31 December 2015.",negative,True
2545,The areas which require some improvements are those related to the implementation of the community plans and ensuring that proper responsibility and monitoring is conducted to track the plans.,negative,True
2553,These changes were not however included in the results framework for the project.,negative,True
2554,"Similarly, within the MGI, limited questions relating to gender have been incorporated.",negative,True
2557,Not including migration in the early stages raises the risk of not being included at all.,negative,True
2558,"Gender disaggregated information is not, thus far, being captured in all related indicators that are being defined for the SDG and END processes.",negative,True
2560,"Still, these achievements fall below the average number of indicators (11) met by other UN Funds and Programmes entities.1",negative,True
2572,Training does not reach enough people.,negative,True
2575,This is particularly noticeable in finding clear distinctions between gender-related activities and counter-trafficking activities focusing mainly on women.,negative,True
2577,"Implementation of internal information campaigns in such countries could, for instance, encourage female G staff to apply more frequently for P positions, or male G staff to encourage their countrywomen to apply for IOM posts, in support of the official policy of a gender-balanced staffing structure.",negative,True
2579,"The work done by IOM staff for mainstreaming gender should be better recognized, in particular for those contributing regularly to its implementation.",negative,True
2580,"Regarding programmes, the evaluation observed some confusion on what falls specifically under gender, what can be considered as gender-sensitive and what is not targeting gender-related problems.",negative,True
2587,The results also do not capture changes that may have taken place beyond the environment sector or among multiple sectors.,negative,True
2588,"However, it should be noted that for some PIMS projects, especially those that do not have sub-projects, the stated results show a closer alignment to the Expected Accomplishments.",negative,True
2589,"Substantive changes that may take place across multiple sectors of a country, or changes in the global discourse, appear difficult to track and therefore are not reported.",negative,True
2592,The further breakdown and single counting still does not allow for insight into the scale of the adoption of change or the implementation of agreed action.,negative,True
2593,"However, more clarity around the operationalisation of this policy would be beneficial.",negative,True
2598,"A connected issue is the tension between the normative role UN Environment Programme as a whole is designed to play, and the operational role it has in practice.",negative,True
2599,Financial and institutional sustainability at a project level is similarly limited and often dependant on follow-up funding.,negative,True
2600,"Being mostly externally funded, the focus on fund acquisition fosters diversification but can hinder integration.",negative,True
2606,This criterion includes consideration of partner and stakeholder engagement in the period between project approval and mobilisation.,negative,True
2607,Some of this is due to lengthy commenting processes and the need for extensive reworking of elements like Theory of Change and Logical Framework.,negative,True
2608,"As a result, the project entered into the Project Information Management System often does not entirely match the work delivered or is delivered via multiple, often separate, donor- funded projects.",negative,True
2609,Understanding and acceptance of the need for the monitoring of project implementation (i.e. tracking progress against an agreed plan to inform adaptive management) is weak and has an effect on efficiency (through the need for project extensions).,negative,True
2612,"However, external communications with partners and audiences are still better developed and planned than the internal communication that is often ad-hoc and fragmented.",negative,True
2618,"However, the descriptions used in both the Sub- Programme Theory of Change and the Outcome Map could be better aligned with these global goals.",negative,True
2620,"The limitations outlined above contribute to the Project Information Management System being inadequate for gathering the required data, thus data is extracted from various other sources on a bi-annual basis making it a manual and time-consuming process with high transaction cost for the organisation.",negative,True
2626,"The actual impact of the Sub-Programme on change in the recipient countries and organisations however is hard to gauge, since the changes that are reported show a limited and superficial picture of the deeper change that possibly takes place in the countries, business actors, cities and consumer groups.",negative,True
2627,The strategic sustainability of the Sub-Programme is reduced by the strong dependency on external funding which increases donor influence and reduces the possibilities for strategic focus and integration of projects.,negative,True
2629,"Although it is a relatively new system, the Umoja administrative and financial system was reported to be cumbersome in use, not user-friendly and not set up yet to donor reporting requirements.",negative,True
2635,"However, a number of activities were cancelled or scaled back as a result of funding shortfalls or late receipt of funding and in retrospect the PoW can be seen to have been overambitious with regard to available resources.",negative,True
2636,"However, greater attention needs to be paid to the drivers of higher level outcomes and sustainability including, notably to increase visibility and awareness of the MAP initiatives as a basis for political will and country ownership.",negative,True
2639,"The latter affected planning and delivery of activities, effectively truncating the delivery period in each biennia.",negative,True
2640,Failure to increase ordinary contributions will continue to compromise the effectiveness of PoW delivery including as a result of shortfalls in staffing.,negative,True
2641,The first was the question of prioritisation of activities as a means to limit the effects of funding shortfalls on PoW delivery.,negative,True
2643,There were no outcome indicators in the PoW logframe.,negative,True
2648,"Mechanisms for gender mainstreaming have been put in place in some of the core areas of UNEPs work, but, these are not yet robust enough to ensure compliance and a meaningful integration of gender perspectives into operational or programmatic areas of work.",negative,True
2649,Ensuring gender sensitivity of institutional processes alone does not guarantee the improvement of the quality of life of the disadvantaged or most vulnerable group of people.,negative,True
2652,The context is unclear: there is no statement as to how gender equality and equity should be understood in UNEP and how it applies to UNEP work.,negative,True
2653,The review finds that the gender mainstreaming strategy and its accountability and results framework are not well understood by UNEP staff mainly due to inadequate awareness-raising and capacity building of staff for gender mainstreaming.,negative,True
2654,More than a third (38%) is not aware it exists as reflected in the gender perception survey.,negative,True
2655,The GePA is not results-based and the gender mainstreaming actions are not linked to specific expected outcomes or results and to the operational priorities of UNEP.,negative,True
2659,The review did not find sufficient evidence of proactive efforts from management to mobilize or allocate adequate funds for gender mainstreaming efforts.,negative,True
2660,"With the current UNEP funding mechanism for operations, which is tied up to sub-programmes, the prospect for specific funding for gender is bleak, unless specific allocations will be provided to cross-cutting issues, including gender.",negative,True
2661,"There is only a minimal Gender unit composed of just one Senior Gender Advisor (SGA) located in the Quality Assurance Section (QAS), Office of Operations.",negative,True
2663,"Hence, many GFPs are inactive.",negative,True
2664,"By focusing gender mainstreaming mainly on institutional processes, the GePA does not fully support the gender equality objectives set in the GC decision.",negative,True
2665,"In the few documents that feature gender, the focus is generally minimal.",negative,True
2668,UNEP will always have difficulty in reporting on gender as long as it does not cover gender-specific issues or systematically use sex-disaggregated data.,negative,True
2669,"But, increasing the proportions of female staff in P5 and D1 levels remains a challenge.",negative,True
2671,"Consequently, there have been missed opportunities for gender to be reflected in some key publications.",negative,True
2676,"But, they are spread out without a mechanism to effectively consolidate and share, and therefore not easily accessible to UNEP staff.",negative,True
2677,The GePA has not consistently indicated expected outcomes and outputs of these partnerships.,negative,True
2678,"But, UNEP is having difficulty in successfully demonstrating its contribution to this endeavour.",negative,True
2687,The main reasons for this deficiency are inadequate policy review mechanisms and limited engagement of the SGA in the policy development process.,negative,True
2689,"Despite efforts from the SGA in collaboration with sub-programme coordinators, the thematic gender action plans were not widely known by all members of the gender focal teams in the divisions and regional offices.",negative,True
2691,"UNEP also needs to pay more attention to supporting career enhancement and life and work balance of staff, including focusing career enhancement training for women, enhancing induction package and referral systems provided by UNON, and improving the mechanism for implementation of harassment policy.",negative,True
2696,The veracity of those findings remains undiminished.,negative,True
2697,Sub-programme coordinators work across the Divisional structures but do not hold any authority over human or financial resources.,negative,True
2699,"Many staff involved in PoW preparation, including subprogramme coordinators, did not play any active role in the preparation of the MTS.",negative,True
2700,"Furthermore, there is no clear link between POW Output targets and EA targets.",negative,True
2701,"To add to the confusion, in some cases, related PoW Outputs are actually consecutive steps in a results chain, with one expected to lead to the other.",negative,True
2703,"This lack of authority can; impede SPCs from getting access to progress information from other divisions, limit their ability to influence project and programme design processes and constrain their influence on resource allocation decisions to pursue alignment with subprogramme priorities.",negative,True
2705,Similar situations may prevail in relation to resource mobilisation priorities.,negative,True
2707,It would seem that the resource allocation trends associated with the former divisional structure prior to 2010 have been used to guide allocation of the Environment Fund.,negative,True
2709,QAS did provide project document templates and useful feedback on draft project design documents.,negative,True
2710,"In a few cases, milestones refer to external events which would have happened anyway.",negative,True
2712,It does seem that many projects have largely been designed within Divisions.,negative,True
2715,"In addition, a large proportion of PoW Outputs are defined at outcome level, therefore, there are temporal problems in using these indicators to monitor progress in programme implementation.",negative,True
2717,A lack of detail in project documents on stakeholders often goes hand-in-hand with poorly articulated outreach and dissemination strategies.,negative,True
2718,Gender aspects rarely feature in performance indicators or monitoring plans.,negative,True
2719,"At the time of project approval, a significant number of projects had mobilized none, or very small proportions, of the required project funds.",negative,True
2720,"Replication of project results is most often expected to happen simply through communication and awareness raising (websites, policy briefs, lessons learned papers etc.).",negative,True
2722,Most project designs lack adequate baselines and very few specify activities to establish baselines and conduct recurrent monitoring.,negative,True
2723,It appears to have frequently been overlooked in the discrete project design processes that took place in the Divisions.,negative,True
2724,The simultaneous introduction of results-oriented programming to the development of thematic subprogrammes that cut across the Divisional structure of the organisation added considerable complexity to work planning processes.,negative,True
2733,SPCs report to the Director of their respective Lead Division.,negative,True
2738,Projects were designed under sub-optimal conditions.,negative,True
2742,"Similar to the finding above, synergies among multiple projects contributing to one EA or PoW Output were not adequately described.",negative,True
2744,The narrative description and logframes presented in the project document frequently made no mention of the activities that were listed as CSFs.,negative,True
2745,Approved PoW projects lack adequate detail on the strategies to be employed to sustain project outcomes.,negative,True
2747,Analysis of stakeholder needs and how they may be affected by or contribute to the project is often weak or absent.,negative,True
2748,How the private sector will be engaged often remains unclear.,negative,True
2755,"However, the evaluation found that, in comparison to some other UN Agencies, UNEP struggles to fully embrace operating under One UN at the country level.",negative,True
2757,"Regional Offices and regional collaborative efforts are chronically under-resourced, and a lack of country presence exacerbates communication and increases transaction costs, leading to frequent administrative delays.",negative,True
2758,"There does not appear to be a clear approach on engagement with particular countries, nor a coherent strategy for identifying potential new partner countries, nor a great attention for possible synergies at the regional level.",negative,True
2759,This is mostly true for interventions meant to test and demonstrate approaches as part of larger regional or global programmes.,negative,True
2760,"However, many partner country interviewees were not aware which knowledge products and tools were developed specifically with the support of UNEP.",negative,True
2767,Already on-going and pre-existing projects and programs strongly shape current interventions but in many cases the sustainability lessons drawn from these interventions are not explicitly stated and brought forward into current activities.,negative,True
2768,"Interviewees both across UNEP staff and in-country stakeholders have voiced concern over the lack of resources devoted to communication, dissemination, translation of reports, memos and publications into local languages to help ensure the materials reach intended audiences.",negative,True
2769,"In addition, projects miss opportunities to reorient and better focus on achieving intended changes by not regularly incorporating assumptions and drivers into planning and implementation.",negative,True
2772,"However, stakeholder involvement, especially at the country level, could be stronger during the design stage of projects.",negative,True
2781,"It has also meant working in fewer countries, concentrating efforts in countries where UNEP has a proven track record or previous relationships, and grouping related projects together within those countries.",negative,True
2783,"This was partly attributable to a lack of funds to design projects, resulting in a perpetual pattern of borrowing from existing projects to develop new ones.",negative,True
2784,Drivers were also largely absent from project design documents.,negative,True
2785,"However, risks were often poorly formulated and projects rarely foresaw a mechanism to monitor risks.",negative,True
2786,"According to QAS, many projects are submitted to PRC without 6-month milestones and targets for each indicator and QAS makes suggestions for milestones and targets which project managers are often expected to take up by the PRC.",negative,True
2787,"On the whole, however, stakeholder analysis and capacity assessment in the design stages was often weak and infrequently used to better identify the respective capacities and define potential roles of specific direct and indirect intervention partners.",negative,True
2788,Umbrella projects did not present a Theory of Change explaining the coherence between their sub-projects and sub-project results were difficult to identify and track for the purposes of learning and accountability.,negative,True
2789,"In order to support the geographically dispersed efforts, when the CCSP was first launched, climate change experts were placed in each of the regional offices.",negative,True
2790,DTIE as the Lead Division makes the final budgetary decisions.,negative,True
2793,DTIE has the responsibility of coordination and allocation of funding for the CCSP but without an accountability mechanism.,negative,True
2796,Some teams expected to be budgeted under the CCSP between 2010-13 ended up assigned with responsibilities for only a minimal activity budget.,negative,True
2800,Some managers and staff see RBM as an external imposition rather than a management approach that supports meeting their key deliverables.,negative,True
2801,"The CCSP as a whole is chronically stifled by staff shortages, largely due to vacancies that remain open due to the slow recruitment process.",negative,True
2802,UNEP claims to have insufficient resources to open sub-regional offices.,negative,True
2804,"However, the relatively small amount of EF funding can also be unpredictable, as EF funds are only gradually released as donors make their contributions to UNEP.",negative,True
2805,"In some cases, funding constraints made it impossible to conduct the planned field demonstrations and to provide follow-up after training courses.",negative,True
2806,Project Documents hardly ever present budgets that are broken down to the output or activity level.,negative,True
2808,"Furthermore, as more partnerships are in demand, within UNEP and the UN, but also with external partners, project teams have to devote additional time and energy to maintaining those relationships.",negative,True
2812,"However, despite many good intentions presented in the POWs, Programme Framework documents and project documents, there is little evidence of effective formal collaboration between UNEP divisions related to the CCSP.",negative,True
2813,These projects have not been designed in a way that would promote collaboration at the national level.,negative,True
2816,"Working with the UN-REDD Programme entails inescapable transaction costs, such as the need to operate through three distinct budget lines, internal procedures, and complex decision-making.",negative,True
2817,"The overall administrative burden, in particular the long lead-times to get contracts out, is an area of concern.",negative,True
2818,"Regional offices make efforts to follow-up on the UNDAF preparation process but due to limited resources, they cannot participate in the UNDAF preparation of all the countries pertaining to the region and very often, the UNEP programming cycle does not match with that of the UNDAF.",negative,True
